district,Latitude,Longitude,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Baoshan,31.21278,121.56217,3234,2,1,1,0,58,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,3300,1,0,1,0,10,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,3300,1,0,1,0,33,0,public housing,residential,0,0,0,0,1,0,0,0,1
Huangpu,31.21278,121.56217,3300,1,1,1,0,15,0,detached lane house,residential,1,1,0,1,0,0,0,0,3
Jing'an,31.24863,121.47429,3300,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.22542,121.456096,3300,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.22542,121.456096,3300,1,1,1,0,20,0,attached lane house,residential,0,0,0,0,0,0,0,0,0
Xuhui,31.20809225,121.4626095,3300,1,0,1,1,20,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,3300,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.24863,121.47429,3300,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,31.21278,121.56217,3390,1,1,1,0,40,0,public housing,residential,0,1,1,1,1,1,0,0,5
Huangpu,31.21278,121.56217,3400,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3400,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,1,0,0,0,2
Huangpu,31.21278,121.56217,3450,1,0,1,0,22,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21638,121.40587,3499,1,0,1,0,26,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,3500,1,1,1,0,25,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,3500,1,1,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,31.228677,121.39569,3500,1,1,1,0,41,0,public housing,multi-use,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,3500,1,0,1,0,20,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Jing'an,31.21278,121.56217,3500,1,0,1,0,37,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,3500,1,0,1,0,13,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3500,1,0,1,0,15,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3500,1,0,1,0,13,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,3500,1,0,1,0,12,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Huangpu,31.21278,121.56217,3500,1,0,1,0,16,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,3500,1,1,1,1,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,3500,1,0,1,0,12,0,public housing,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,3500,1,0,1,0,12,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Jing'an,31.21278,121.56217,3600,1,0,1,0,15,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Xuhui,31.21278,121.56217,3600,1,0,1,0,22,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,3600,1,0,1,0,18,0,detached lane house,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,3600,1,1,1,0,20,0,attached lane house,residential,0,1,1,0,1,0,0,0,3
Jing'an,31.21278,121.56217,3600,1,1,1,0,50,0,public housing,multi-use,0,1,1,0,0,0,0,0,2
Minhang,31.21278,121.56217,3619,2,1,1,0,59,0,attached lane house,residential,0,1,1,0,1,0,0,0,3
Xuhui,31.21278,121.56217,3650,1,0,1,0,17,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3700,1,0,1,0,13,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,3800,1,0,1,0,21,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,3800,1,1,1,0,20,0,attached lane house,multi-use,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,3800,1,1,1,0,25,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,3800,1,0,1,0,20,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Putuo,31.21278,121.56217,3800,1,0,1,0,34,0,public housing,residential,0,1,1,0,0,0,0,0,2
