district,Latitude,Longitude,rent,bedrooms,living-dining,bathrooms,loft,sqmeters,entire_building,building_type,use_type_en,heat,ac,balcony,WIFI,outdoor_space,bathtub,floor_heat,oven,total_amens
Changning,31.21278,121.56217,7000,1,1,1,0,50,0,attached lane house,residential,1,0,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,7000,1,1,1,0,50,0,detached lane house,residential,1,1,0,1,0,0,0,0,3
Huangpu,31.21278,121.56217,7000,1,1,1,0,40,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,7000,1,1,1,0,50,0,detached lane house,multi-use,1,1,1,1,0,0,0,0,4
Huangpu,31.21278,121.56217,7000,1,2,1,0,50,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,7000,1,1,1,0,50,0,detached lane house,residential,1,1,1,1,0,1,0,0,5
Xuhui,31.21278,121.56217,7000,2,1,1,0,80,0,detached lane house,multi-use,0,0,0,0,1,0,0,0,1
Jing'an,31.21278,121.56217,7000,1,1,1,0,30,0,detached lane house,residential,0,0,1,0,1,0,0,0,2
Jing'an,31.21278,121.56217,7000,1,1,1,0,50,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,7000,1,1,1,1,35,0,attached lane house,multi-use,0,1,1,1,0,0,0,0,3
Jing'an,31.24863,121.47429,7000,1,1,1,1,48,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,7000,1,1,1,0,50,0,detached lane house,residential,1,0,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,7000,1,1,1,0,55,0,detached lane house,multi-use,0,1,0,0,1,0,0,0,2
Xuhui,31.21278,121.56217,7000,1,1,1,0,40,0,attached lane house,multi-use,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7000,1,1,1,0,50,0,attached lane house,multi-use,0,1,0,1,1,0,0,0,3
Huangpu,31.21278,121.56217,7000,1,1,1,1,45,0,attached lane house,residential,1,1,0,1,0,0,0,0,3
Jing'an,31.24863,121.47429,7000,1,1,1,1,48,0,attached lane house,residential,0,1,0,0,1,0,0,0,2
Xuhui,31.21278,121.56217,7000,1,1,1,0,40,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,7000,1,0,1,0,16,0,detached lane house,residential,0,1,1,0,1,0,0,0,3
Jing'an,31.21278,121.56217,7000,1,1,1,0,62,0,detached lane house,multi-use,0,1,0,0,1,0,0,0,2
Huangpu,31.21278,121.56217,7000,1,1,1,0,25,0,detached lane house,multi-use,0,1,0,0,1,0,0,0,2
Xuhui,31.21607,121.44443,7000,1,1,1,0,35,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,7000,1,1,1,0,60,0,detached lane house,multi-use,0,0,0,0,0,1,0,0,1
Huangpu,31.21278,121.56217,7000,1,1,1,0,65,0,attached lane house,multi-use,1,1,0,1,0,0,0,0,3
Huangpu,31.21278,121.56217,7000,2,1,1,0,60,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.24863,121.47429,7000,1,1,1,1,48,0,attached lane house,residential,0,1,0,0,1,0,0,0,2
Xuhui,31.21278,121.56217,7000,1,1,1,0,55,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,7000,1,0,1,0,35,0,detached lane house,multi-use,0,1,0,0,1,1,0,0,3
Jing'an,31.24863,121.47429,7000,1,1,1,1,48,0,attached lane house,multi-use,0,1,0,0,1,0,0,0,2
Huangpu,31.217304,121.449509,7000,1,1,1,1,50,0,attached lane house,multi-use,1,1,0,1,0,0,1,0,4
Changning,31.21278,121.56217,7000,1,1,1,0,60,0,detached lane house,residential,1,1,0,1,0,1,0,0,4
Xuhui,31.21278,121.56217,7000,1,0,1,0,40,0,attached lane house,residential,0,0,1,0,1,0,0,0,2
Jing'an,31.21278,121.56217,7000,1,1,1,0,45,0,detached lane house,multi-use,0,1,0,0,1,0,0,0,2
Jing'an,31.21278,121.56217,7000,1,2,1,0,65,0,detached lane house,residential,1,1,1,0,1,0,0,0,4
Xuhui,31.21278,121.56217,7000,3,0,1,0,68,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,31.21278,121.56217,7000,2,1,1,0,60,0,public housing,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7000,1,1,1,0,45,0,public housing,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7000,2,1,1,0,65,0,public housing,residential,0,1,1,0,1,0,0,0,3
Huangpu,31.20869024,121.4714299,7000,2,1,1,0,55,0,public housing,residential,1,1,0,1,0,0,0,0,3
Pudong,31.19613,121.512442,7000,2,1,1,0,65,0,public housing,residential,0,1,0,0,0,0,0,0,1
Jiading,31.21278,121.56217,7000,3,0,1,0,65,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,7000,1,1,1,0,45,0,public housing,residential,0,1,1,0,0,0,0,0,2
Minhang,31.21278,121.56217,7000,1,1,1,0,45,0,public housing,residential,0,1,1,0,0,0,0,0,2
Minhang,31.21278,121.56217,7000,2,2,1,0,65,0,public housing,residential,0,1,0,0,0,0,0,0,1
Pudong,31.21278,121.56217,7000,2,1,1,0,56,0,public housing,residential,0,1,1,1,0,0,0,0,3
Xuhui,31.21278,121.56217,7000,2,1,1,0,58,0,public housing,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7000,1,1,1,0,38,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,7000,1,1,1,0,38,0,public housing,residential,0,0,0,0,1,0,0,0,1
Putuo,31.21278,121.56217,7000,3,1,1,0,68,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,31.198421,121.389682,7000,1,1,1,0,42,0,public housing,residential,0,1,1,0,0,0,0,0,2
Pudong,31.21278,121.56217,7084,3,2,2,0,110,0,detached lane house,residential,0,1,1,0,0,0,0,0,2
Pudong,31.21278,121.56217,7100,2,1,1,0,60,0,public housing,residential,0,1,1,1,0,0,0,0,3
Xuhui,31.21278,121.56217,7199,2,2,1,0,55,0,public housing,multi-use,0,1,0,1,0,0,0,0,2
Pudong,31.21278,121.56217,7200,1,1,1,0,40,0,public housing,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,7200,1,1,1,0,45,0,detached lane house,multi-use,1,0,0,0,0,0,1,0,2
Changning,31.21278,121.56217,7200,2,1,1,0,65,0,public housing,residential,0,1,1,1,1,1,0,0,5
Huangpu,31.21278,121.56217,7200,1,1,1,0,52,0,public housing,residential,0,1,1,0,1,0,0,0,3
Xuhui,31.21278,121.56217,7200,1,1,1,0,38,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,31.21668,121.40796,7200,2,1,1,0,65,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,7200,1,1,1,0,50,0,attached lane house,residential,1,1,0,0,0,1,0,0,3
Jing'an,31.21278,121.56217,7200,1,1,1,0,50,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Huangpu,31.21278,121.56217,7200,1,1,1,0,45,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Xuhui,31.187877,121.452081,7200,1,2,1,0,43,0,public housing,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,7200,1,1,1,0,40,0,public housing,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7200,1,1,1,0,37,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,7200,1,1,1,0,40,0,attached lane house,multi-use,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7200,1,1,1,0,60,0,detached lane house,multi-use,0,0,0,0,0,1,0,0,1
Huangpu,31.21278,121.56217,7200,1,1,1,0,55,0,attached lane house,residential,0,1,0,0,0,0,0,1,2
Xuhui,31.21278,121.56217,7200,1,1,1,0,45,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,7200,1,1,1,0,45,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,7200,1,1,1,0,60,0,public housing,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7200,1,1,1,0,45,0,public housing,residential,0,1,1,0,1,0,0,0,3
Huangpu,31.21278,121.56217,7200,1,1,1,1,63,0,public housing,residential,0,1,0,1,0,0,0,0,2
Jing'an,31.21278,121.56217,7200,1,2,1,0,50,0,public housing,residential,1,1,1,0,0,0,0,0,3
Xuhui,31.21278,121.56217,7200,1,1,1,0,55,0,public housing,residential,0,0,0,0,1,0,0,0,1
Jing'an,31.21278,121.56217,7200,1,0,1,0,42,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,7200,1,0,1,0,40,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,7200,1,1,1,0,52,0,detached lane house,residential,0,1,1,1,1,0,0,0,4
Huangpu,31.20525693,121.4495566,7200,1,1,1,1,50,0,attached lane house,residential,0,1,0,1,0,1,0,0,3
Huangpu,31.21278,121.56217,7200,1,1,1,1,52,0,detached lane house,residential,1,1,0,0,0,0,0,0,2
Pudong,31.21278,121.56217,7260,2,1,1,0,58,0,attached lane house,residential,0,1,0,0,1,0,0,0,2
Xuhui,31.21278,121.56217,7300,1,1,1,0,47,0,public housing,residential,0,1,1,0,0,0,0,0,2
Jing'an,31.21278,121.56217,7300,2,1,1,0,60,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.219592,121.455877,7300,1,1,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.18932,121.45884,7300,1,1,1,0,35,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,7300,1,0,1,0,28,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Pudong,31.21278,121.56217,7300,1,0,1,0,36,0,public housing,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,7300,2,1,1,0,60,0,detached lane house,residential,0,0,0,0,0,0,0,0,0
Huangpu,31.21278,121.56217,7300,2,1,1,1,50,0,detached lane house,residential,0,1,1,0,1,0,0,0,3
Changning,31.21278,121.56217,7300,1,2,1,0,55,0,public housing,residential,0,1,1,1,1,1,0,0,5
Huangpu,31.21278,121.56217,7300,1,0,1,0,30,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,7300,1,1,1,0,50,0,public housing,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7400,1,1,1,0,35,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,31.22555,121.42648,7400,1,1,1,0,48,0,public housing,residential,1,1,1,1,0,0,0,0,4
Jing'an,31.21278,121.56217,7400,1,1,2,1,50,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Jing'an,31.21278,121.56217,7497,1,1,1,0,60,0,public housing,residential,1,1,1,0,0,0,1,1,5
Xuhui,31.21278,121.56217,7499,1,1,1,1,60,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Huangpu,31.21278,121.56217,7500,1,1,1,0,50,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Pudong,31.21278,121.56217,7500,1,2,1,0,52,0,attached lane house,residential,0,1,1,0,1,0,0,0,3
Huangpu,31.21278,121.56217,7500,2,2,1,0,50,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,40,0,public housing,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,2,1,0,40,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,38,0,public housing,residential,0,0,0,0,0,1,0,0,1
Jing'an,31.21278,121.56217,7500,1,1,1,1,40,0,detached lane house,residential,1,1,1,1,1,1,1,0,7
Jing'an,31.24863,121.47429,7500,1,2,1,0,60,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,46,0,attached lane house,residential,0,1,1,0,1,0,0,1,4
Pudong,31.21278,121.56217,7500,2,1,1,0,50,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,31.19422,121.42901,7500,1,1,1,0,70,0,attached lane house,residential,0,1,0,0,1,0,0,0,2
Xuhui,31.181773,121.450868,7500,1,1,1,0,45,0,public housing,residential,0,1,0,0,1,0,0,0,2
Jing'an,31.21278,121.56217,7500,1,1,1,0,40,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Changning,31.21278,121.56217,7500,1,1,1,1,40,0,public housing,multi-use,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,7500,2,1,1,0,80,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,31.21278,121.56217,7500,2,1,1,0,50,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,7500,1,1,1,0,50,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Jing'an,31.21278,121.56217,7500,1,1,1,0,42,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,7500,1,1,1,1,45,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,40,0,public housing,residential,1,1,0,1,0,0,0,0,3
Jing'an,31.21278,121.56217,7500,1,1,1,0,58,0,detached lane house,multi-use,1,1,1,0,1,0,0,0,4
Huangpu,31.21278,121.56217,7500,1,1,1,0,45,0,attached lane house,multi-use,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,7500,1,2,1,0,50,0,public housing,residential,0,1,1,1,0,0,0,0,3
Huangpu,31.21278,121.56217,7500,2,1,1,0,50,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,40,0,detached lane house,multi-use,0,0,0,0,1,0,0,0,1
Jing'an,31.21278,121.56217,7500,1,1,1,1,40,0,detached lane house,residential,1,1,0,1,1,1,1,0,6
Jing'an,31.21278,121.56217,7500,1,1,1,0,50,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.22348,121.438381,7500,1,1,1,0,40,0,detached lane house,residential,0,1,0,0,0,1,0,0,2
Jing'an,31.22348,121.438381,7500,1,1,1,0,40,0,detached lane house,residential,0,1,1,0,1,0,0,0,3
Xuhui,31.21278,121.56217,7500,1,0,1,0,45,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,45,0,attached lane house,multi-use,0,1,0,0,1,0,0,0,2
Jing'an,31.21278,121.56217,7500,1,1,1,0,40,0,detached lane house,residential,1,1,0,1,1,1,1,0,6
Huangpu,31.21278,121.56217,7500,1,2,1,1,60,0,attached lane house,residential,0,1,0,0,0,0,0,1,2
Xuhui,31.21278,121.56217,7500,2,0,1,0,56,0,attached lane house,residential,0,1,1,1,0,0,0,0,3
Jing'an,31.21278,121.56217,7500,1,0,1,0,40,0,detached lane house,multi-use,0,1,0,0,1,0,0,0,2
Huangpu,31.21278,121.56217,7500,1,1,1,0,40,0,detached lane house,multi-use,0,0,0,0,1,0,0,0,1
Changning,31.21278,121.56217,7500,1,0,1,0,30,0,public housing,residential,1,0,0,0,0,0,1,0,2
Jing'an,31.21278,121.56217,7500,1,2,1,0,50,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,7500,1,0,1,0,30,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,7500,1,1,1,0,55,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,7500,1,0,1,0,45,0,detached lane house,multi-use,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,50,0,detached lane house,multi-use,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,60,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7500,2,1,1,0,65,0,attached lane house,residential,1,0,0,0,0,0,1,0,2
Xuhui,31.21278,121.56217,7500,1,1,1,0,60,0,public housing,residential,1,1,1,0,0,0,0,0,3
Xuhui,31.21278,121.56217,7500,1,1,1,0,45,0,public housing,residential,1,1,1,0,1,0,0,1,5
Jing'an,31.24863,121.47429,7500,1,1,1,1,30,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Huangpu,31.21278,121.56217,7500,1,2,1,0,65,0,attached lane house,multi-use,0,0,0,0,1,0,0,0,1
Huangpu,31.21278,121.56217,7500,1,1,1,0,35,0,attached lane house,multi-use,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,7500,1,1,1,0,50,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,40,0,villa,residential,0,0,0,0,1,0,0,0,1
Jing'an,31.21278,121.56217,7500,1,2,1,0,45,0,attached lane house,residential,0,0,0,0,0,1,0,0,1
Changning,31.21822,121.43709,7500,1,1,1,0,42,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,7500,1,2,1,0,58,0,attached lane house,residential,0,1,1,1,0,0,0,0,3
Xuhui,31.21278,121.56217,7500,1,0,1,0,12,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Changning,31.21278,121.56217,7500,1,1,1,0,40,0,public housing,multi-use,1,1,0,0,1,0,0,0,3
Xuhui,31.21278,121.56217,7500,1,1,1,0,50,0,attached lane house,multi-use,0,1,0,0,1,0,0,0,2
Jing'an,31.21278,121.56217,7500,1,1,1,0,40,0,detached lane house,residential,1,1,1,0,0,0,0,0,3
Huangpu,31.21278,121.56217,7500,2,1,1,0,45,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Jing'an,31.21278,121.56217,7500,1,1,1,0,50,0,detached lane house,residential,1,1,1,1,1,1,0,0,6
Xuhui,31.21278,121.56217,7500,1,1,1,1,35,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,50,0,public housing,residential,0,1,1,0,1,0,0,0,3
Jing'an,31.21278,121.56217,7500,1,1,1,0,60,0,detached lane house,multi-use,0,1,1,0,0,0,0,0,2
Jing'an,31.21278,121.56217,7500,1,1,1,0,40,0,detached lane house,residential,0,1,0,0,0,0,0,1,2
Xuhui,31.21278,121.56217,7500,1,2,1,1,65,0,attached lane house,residential,0,0,1,0,0,0,0,0,1
Huangpu,31.21278,121.56217,7500,1,0,1,0,45,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7500,1,1,1,0,50,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Changning,31.21278,121.56217,7500,1,1,1,0,45,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,7500,1,2,1,0,45,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Xuhui,31.17649,121.425493,7500,2,1,1,0,55,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21607,121.44443,7500,1,1,1,0,65,0,detached lane house,residential,0,1,0,1,0,0,0,1,3
Xuhui,31.21278,121.56217,7500,1,1,1,0,45,0,detached lane house,multi-use,0,1,0,0,1,0,0,0,2
Jing'an,31.21278,121.56217,7500,1,1,1,0,50,0,detached lane house,multi-use,1,1,0,1,0,0,0,0,3
Xuhui,31.21278,121.56217,7500,1,1,1,0,55,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Huangpu,31.21278,121.56217,7500,1,2,1,0,65,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,7600,1,1,1,0,50,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7600,1,2,1,0,60,0,attached lane house,multi-use,0,0,0,0,1,0,0,0,1
Jing'an,31.21278,121.56217,7600,1,1,1,0,50,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Changning,31.21278,121.56217,7600,1,1,1,0,50,0,public housing,multi-use,0,1,1,0,1,0,0,0,3
Xuhui,31.21278,121.56217,7600,1,2,1,0,55,0,public housing,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7600,3,1,1,0,106,0,public housing,residential,0,1,1,1,0,0,0,0,3
Xuhui,31.18932,121.45884,7600,2,0,1,0,50,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,7600,1,1,1,0,40,0,detached lane house,multi-use,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7600,1,1,1,0,50,0,public housing,residential,0,0,0,0,1,0,0,0,1
Huangpu,31.21278,121.56217,7600,1,0,1,0,35,0,public housing,residential,0,1,1,0,1,1,0,0,4
Changning,31.21278,121.56217,7600,2,2,1,0,65,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,7600,1,1,1,0,52,0,public housing,residential,1,1,1,0,0,0,0,0,3
Xuhui,31.21278,121.56217,7700,1,2,1,0,50,0,public housing,residential,0,1,1,0,0,0,0,0,2
Jing'an,31.21278,121.56217,7700,1,1,1,0,50,0,detached lane house,residential,1,1,1,1,1,0,1,0,6
Huangpu,31.21278,121.56217,7700,1,1,1,0,50,0,attached lane house,residential,0,1,0,0,1,0,0,0,2
Xuhui,31.21278,121.56217,7700,1,1,1,0,30,0,detached lane house,residential,0,0,0,0,1,0,0,0,1
Xuhui,31.21278,121.56217,7700,1,2,1,0,55,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,7800,2,1,1,0,60,0,public housing,residential,0,1,1,1,0,0,0,0,3
Huangpu,31.21278,121.56217,7800,2,1,1,0,65,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,7800,2,0,1,0,55,0,public housing,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,7800,2,2,1,0,89,0,attached lane house,residential,1,1,1,1,1,1,0,0,6
Huangpu,31.21278,121.56217,7800,1,1,1,1,45,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Changning,31.21278,121.56217,7800,1,1,1,0,50,0,attached lane house,multi-use,0,1,0,1,0,0,0,0,2
Xuhui,31.21278,121.56217,7800,1,1,1,0,60,0,detached lane house,residential,1,0,0,0,0,0,0,0,1
Changning,31.21278,121.56217,7800,1,1,1,0,50,0,detached lane house,residential,0,1,1,1,1,0,0,0,4
Changning,31.21278,121.56217,7800,2,1,1,0,75,0,public housing,residential,1,1,0,0,0,0,0,0,2
Huangpu,31.21278,121.56217,7800,1,1,1,0,40,0,detached lane house,residential,1,1,0,1,0,0,1,0,4
Changning,31.21822,121.43709,7800,1,1,1,0,50,0,public housing,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,7800,1,0,1,0,40,0,public housing,residential,1,1,1,0,0,0,0,0,3
Xuhui,31.21278,121.56217,7800,1,1,1,0,35,0,detached lane house,multi-use,1,0,0,0,0,0,1,0,2
Jing'an,31.217419,121.445883,7800,1,1,1,0,45,0,attached lane house,multi-use,1,1,1,0,1,0,0,0,4
Jing'an,31.21278,121.56217,7800,1,1,1,0,50,0,public housing,residential,1,0,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,7800,1,1,1,0,45,0,attached lane house,residential,0,1,1,1,0,1,0,0,4
Jing'an,31.224469,121.437992,7800,1,1,1,0,50,0,public housing,residential,1,1,1,1,1,0,0,0,5
Huangpu,31.21278,121.56217,7800,1,1,1,0,50,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Jing'an,31.21278,121.56217,7800,1,2,1,0,35,0,detached lane house,multi-use,1,1,0,0,1,0,0,1,4
Huangpu,31.21278,121.56217,7800,1,1,1,1,35,0,detached lane house,multi-use,1,1,1,1,1,1,0,0,6
Xuhui,31.21278,121.56217,7800,1,0,1,0,40,0,detached lane house,multi-use,0,1,0,0,0,0,0,0,1
Huangpu,31.211177,121.474307,7800,1,1,1,0,40,0,detached lane house,multi-use,0,1,0,1,1,0,0,0,3
Pudong,31.21278,121.56217,7800,2,1,1,0,62,0,public housing,residential,0,1,1,0,1,0,0,0,3
Xuhui,31.21278,121.56217,7800,2,1,1,0,60,0,detached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,7800,1,0,1,0,36,0,attached lane house,residential,0,1,1,1,0,0,0,0,3
Jing'an,31.24863,121.47429,7800,1,2,1,0,55,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Changning,31.21278,121.56217,7800,1,1,1,0,40,0,detached lane house,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,7800,1,1,1,0,55,0,public housing,residential,0,1,1,1,0,0,0,0,3
Xuhui,31.21278,121.56217,7800,1,1,1,0,50,0,attached lane house,residential,0,0,0,0,1,0,0,0,1
Changning,31.225489,121.440195,7800,1,2,1,0,50,0,public housing,residential,1,1,1,1,1,1,0,0,6
Changning,31.21822,121.43709,7800,2,1,1,0,56,0,public housing,residential,1,1,1,1,0,1,0,0,5
Xuhui,31.21278,121.56217,7800,2,1,1,0,60,0,attached lane house,residential,0,1,1,0,0,0,0,0,2
Huangpu,31.220872,121.469886,7800,1,0,1,0,40,0,attached lane house,multi-use,0,1,1,0,0,0,0,0,2
Huangpu,31.21278,121.56217,7800,1,1,1,0,60,0,public housing,residential,0,1,1,0,0,0,0,0,2
Changning,31.21278,121.56217,7800,1,2,1,0,65,0,public housing,multi-use,0,1,1,1,1,0,0,0,4
Jing'an,31.21278,121.56217,7800,1,1,1,0,50,0,attached lane house,residential,0,1,0,1,0,0,0,0,2
Huangpu,31.21278,121.56217,7800,1,1,1,0,45,0,detached lane house,residential,0,1,1,1,1,0,0,0,4
Jing'an,31.21278,121.56217,7900,1,1,1,1,35,0,detached lane house,residential,0,1,1,0,1,0,0,0,3
Changning,31.21278,121.56217,7900,1,1,1,0,50,0,public housing,residential,1,1,1,0,0,0,0,0,3
Xuhui,31.21278,121.56217,7900,2,0,1,0,50,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,7900,1,1,1,0,35,0,public housing,residential,1,1,0,0,0,0,0,1,3
Huangpu,31.225797,121.479756,7900,1,1,1,0,56,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,7999,1,1,1,0,40,0,detached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,8000,1,1,1,0,45,0,detached lane house,multi-use,1,1,1,0,0,0,0,0,3
Xuhui,31.21278,121.56217,8000,1,2,1,0,50,0,attached lane house,residential,0,1,0,0,0,0,0,0,1
Xuhui,31.21278,121.56217,8000,1,1,1,0,65,0,attached lane house,multi-use,1,1,0,0,1,1,1,0,5
Huangpu,31.21278,121.56217,8000,2,1,1,0,54,0,detached lane house,residential,0,1,1,1,1,0,0,0,4
Huangpu,31.21278,121.56217,8000,1,1,1,0,40,0,public housing,residential,0,1,1,1,1,0,0,0,4
Xuhui,31.21278,121.56217,8000,1,1,1,0,40,0,public housing,residential,1,1,1,1,1,0,0,1,6
Putuo,31.21278,121.56217,8000,3,1,1,0,65,0,public housing,residential,0,1,1,0,0,0,0,0,2
Xuhui,31.21278,121.56217,8000,1,2,1,0,45,0,attached lane house,residential,1,1,0,0,0,0,0,0,2
Changning,31.21278,121.56217,8000,1,2,1,0,59,0,public housing,residential,0,1,0,0,0,0,0,0,1
Huangpu,31.21278,121.56217,8000,1,1,1,0,50,0,attached lane house,residential,0,1,1,1,0,0,0,0,3
